hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_score,std_score
"[16, 8]",0.001,0.1,16,50,0.9755796591440836,0.009223404963943794
"[16, 8]",0.001,0.1,32,50,0.9707313378651937,0.00010120863222416021
"[16, 8]",0.001,0.1,64,50,0.9731286764144897,0.012553778812622995
"[16, 8]",0.001,0.2,16,50,0.978012760480245,0.012029380532220873
"[16, 8]",0.001,0.2,32,50,0.9853477875391642,0.006025701016581093
"[16, 8]",0.001,0.2,64,50,0.970713476339976,0.010386544637544973
"[16, 8]",0.001,0.3,16,50,0.9804458419481913,0.012529207041232275
"[16, 8]",0.001,0.3,32,50,0.9682446122169495,0.013940744494554375
"[16, 8]",0.001,0.3,64,50,0.9682624936103821,0.01728096072049808
"[16, 8]",0.0005,0.1,16,50,0.9633784095446268,0.015884729202708316
"[16, 8]",0.0005,0.1,32,50,0.9633784095446268,0.015884729202708316
"[16, 8]",0.0005,0.1,64,50,0.9292078216870626,0.021201399854751345
"[16, 8]",0.0005,0.2,16,50,0.9682445923487345,0.01516125219041964
"[16, 8]",0.0005,0.2,32,50,0.9560970266660055,0.00015178485043723303
"[16, 8]",0.0005,0.2,64,50,0.9389580488204956,0.01945814599670664
"[16, 8]",0.0005,0.3,16,50,0.9633963108062744,0.006091754904652442
"[16, 8]",0.0005,0.3,32,50,0.9658294121424357,0.019213230926045568
"[16, 8]",0.0005,0.3,64,50,0.9560612440109253,0.012095362349205328
"[16, 8]",0.0001,0.1,16,50,0.9219622015953064,0.0031879033276670026
"[16, 8]",0.0001,0.1,32,50,0.9097252090771993,0.01738434781075347
"[16, 8]",0.0001,0.1,64,50,0.8194146354993185,0.04108654012472332
"[16, 8]",0.0001,0.2,16,50,0.9098325570424398,0.022362924590140068
"[16, 8]",0.0001,0.2,32,50,0.8851796189943949,0.06028595583733415
"[16, 8]",0.0001,0.2,64,50,0.7803778449694315,0.07289813031519296
"[16, 8]",0.0001,0.3,16,50,0.9414806167284647,0.005807133806111662
"[16, 8]",0.0001,0.3,32,50,0.9048948089281718,0.033137060147722615
"[16, 8]",0.0001,0.3,64,50,0.6857378085454305,0.10885652231046242
"[24, 12]",0.001,0.1,16,50,0.9731286764144897,0.012553778812622995
"[24, 12]",0.001,0.1,32,50,0.9755617578824362,0.013915428287548832
"[24, 12]",0.001,0.1,64,50,0.9804458419481913,0.012529207041232275
"[24, 12]",0.001,0.2,16,50,0.9755975405375162,0.003542133540451563
"[24, 12]",0.001,0.2,32,50,0.9706776936848959,0.015942170215710646
"[24, 12]",0.001,0.2,64,50,0.9731465578079224,0.009199778983260881
"[24, 12]",0.001,0.3,16,50,0.9755796591440836,0.009223404963943794
"[24, 12]",0.001,0.3,32,50,0.9755438764890035,0.019333141006766388
"[24, 12]",0.001,0.3,64,50,0.9707313378651937,0.00010120863222416021
"[24, 12]",0.0005,0.1,16,50,0.9853298862775167,0.012007420746156612
"[24, 12]",0.0005,0.1,32,50,0.9731286764144897,0.012553778812622995
