hidden_layers,learning_rate,dropout_rate,batch_size,epochs,mean_loss,std_loss
"[12, 6]",0.001,0.1,16,200,0.2018561710913976,0.18667747522769051
"[12, 6]",0.001,0.1,32,200,0.16316546499729156,0.10799233905617127
"[12, 6]",0.001,0.1,64,200,0.14072825262943903,0.06974097991873657
"[12, 6]",0.001,0.2,16,200,0.2268014152844747,0.2004680197018879
"[12, 6]",0.001,0.2,32,200,0.15714753915866217,0.09254055834363177
"[12, 6]",0.001,0.2,64,200,0.15123452246189117,0.07338379552327468
"[12, 6]",0.001,0.3,16,200,0.18154072016477585,0.1461108680992906
"[12, 6]",0.001,0.3,32,200,0.18138399720191956,0.129533391485314
"[12, 6]",0.001,0.3,64,200,0.17410590002934137,0.08282860665388639
"[12, 6]",0.0005,0.1,16,200,0.18445749084154764,0.0771705714266109
"[12, 6]",0.0005,0.1,32,200,0.15778079132239023,0.07334215467923552
"[12, 6]",0.0005,0.1,64,200,0.1500950207312902,0.044658592975249656
"[12, 6]",0.0005,0.2,16,200,0.17125871032476425,0.11830128333551063
"[12, 6]",0.0005,0.2,32,200,0.15993830064932504,0.07841738027986585
"[12, 6]",0.0005,0.2,64,200,0.1623238424460093,0.05187755301775693
"[12, 6]",0.0005,0.3,16,200,0.17361949880917868,0.12359788678502255
"[12, 6]",0.0005,0.3,32,200,0.15331818163394928,0.06205895409497693
"[12, 6]",0.0005,0.3,64,200,0.16838370263576508,0.049906833523190836
"[12, 6]",0.0001,0.1,16,200,0.1710300495227178,0.03247863168238222
"[12, 6]",0.0001,0.1,32,200,0.2077059249083201,0.02755234821657939
"[12, 6]",0.0001,0.1,64,200,0.2584589272737503,0.05261276117197778
"[12, 6]",0.0001,0.2,16,200,0.13955608755350113,0.03465753906252595
"[12, 6]",0.0001,0.2,32,200,0.25994253158569336,0.08955666454025386
"[12, 6]",0.0001,0.2,64,200,0.35578563809394836,0.021253534228819326
"[12, 6]",0.0001,0.3,16,200,0.16378740966320038,0.025402846749741234
"[12, 6]",0.0001,0.3,32,200,0.23138282696406046,0.027665626995396805
"[12, 6]",0.0001,0.3,64,200,0.3350829780101776,0.031383230760076264
"[16, 8]",0.001,0.1,16,200,0.2638192300995191,0.2628950645476097
"[16, 8]",0.001,0.1,32,200,0.19038339455922446,0.14058155488721766
"[16, 8]",0.001,0.1,64,200,0.1526256948709488,0.09580893484226459
"[16, 8]",0.001,0.2,16,200,0.24900844569007555,0.24747555126710322
"[16, 8]",0.001,0.2,32,200,0.1990485986073812,0.1507849123162067
"[16, 8]",0.001,0.2,64,200,0.15614113956689835,0.09615791397157443
"[16, 8]",0.001,0.3,16,200,0.19502397254109383,0.1684223704362956
"[16, 8]",0.001,0.3,32,200,0.1755794733762741,0.1296766694909273
"[16, 8]",0.001,0.3,64,200,0.15592556446790695,0.08905560585577675
"[16, 8]",0.0005,0.1,16,200,0.17635862529277802,0.11644740338264642
"[16, 8]",0.0005,0.1,32,200,0.15709708631038666,0.09709854793900041
"[16, 8]",0.0005,0.1,64,200,0.14913102239370346,0.062109669000847224
"[16, 8]",0.0005,0.2,16,200,0.1782755379875501,0.13458840025834026
"[16, 8]",0.0005,0.2,32,200,0.15889129787683487,0.07786259404587044
"[16, 8]",0.0005,0.2,64,200,0.1382385641336441,0.058083295856800055
"[16, 8]",0.0005,0.3,16,200,0.16141273329655328,0.1047643316341403
"[16, 8]",0.0005,0.3,32,200,0.15216486901044846,0.0802029945438882
"[16, 8]",0.0005,0.3,64,200,0.1490716189146042,0.05215901273421539
